Data_Model,Dataset_Name,Field_Name,Field_Type,Field_Description
Threat_Intelligence,Threat_Activity,dest_category,string,The destination asset category.
Threat_Intelligence,Threat_Activity,dest_priority,string,The destination asset priority.
Threat_Intelligence,Threat_Activity,src_bunit,string,The source asset business unit.
Threat_Intelligence,Threat_Activity,src_category,string,The source asset category.
Threat_Intelligence,Threat_Activity,src_priority,string,The source asset priority.
Threat_Intelligence,Threat_Activity,threat_match_field,string,The name of the field for which Enterprise Security found a threat match.
Threat_Intelligence,Threat_Activity,threat_match_value,string,The value Enterprise Security matched on.
Threat_Intelligence,Threat_Activity,threat_collection,string,The collection of intelligence Enterprise Security matched on.
Threat_Intelligence,Threat_Activity,threat_collection_key,string,The KV store key of the intelligence Enterprise Security matched on.
Threat_Intelligence,Threat_Activity,threat_key,string,The key for the threat attribution associated with the intelligence Enterprise matched on.
Threat_Intelligence,Threat_Activity,dest,string,The destination of the event that Enterprise Security matched on.
Threat_Intelligence,Threat_Activity,orig_sourcetype,string,The original sourcetype of the event Enterprise Security matched on.
Threat_Intelligence,Threat_Activity,src,string,The source of the event that we matched on.
User and Entity Behavior Analytics,All_UEBA_Events,action,string,The recommended action to take in response to a threat in Splunk UBA.
User and Entity Behavior Analytics,All_UEBA_Events,app,string,A multi-value attribute with the names of all the applications associated with the anomaly or threat.
User and Entity Behavior Analytics,All_UEBA_Events,category,string,The category or categories associated with an anomaly.
User and Entity Behavior Analytics,All_UEBA_Events,description,string,The long description of an anomaly.
User and Entity Behavior Analytics,All_UEBA_Events,dvc,string,A multi-value attribute with the names of all devices associated with an anomaly or threat.
User and Entity Behavior Analytics,All_UEBA_Events,link,string,The link to view the anomaly or threat in Splunk UBA.
User and Entity Behavior Analytics,All_UEBA_Events,severity,string,The severity level of an anomaly or threat. Based on the risk score in Splunk UBA.
User and Entity Behavior Analytics,All_UEBA_Events,severity_id,number,The severity id of an anomaly or threat.
User and Entity Behavior Analytics,All_UEBA_Events,signature,string,The internal name of a threat or anomaly.
User and Entity Behavior Analytics,All_UEBA_Events,threat_category,string,The category of a threat in Splunk UBA.
User and Entity Behavior Analytics,All_UEBA_Events,uba_event_id,string,The internal id for an anomaly or threat in Splunk UBA.
User and Entity Behavior Analytics,All_UEBA_Events,uba_event_type,string,An anomaly or threat.
User and Entity Behavior Analytics,All_UEBA_Events,uba_host,string,The UBA host sending the threats and anomalies.
User and Entity Behavior Analytics,All_UEBA_Events,url,string,A multi-value attribute with the names of all domains associated with an anomaly.
User and Entity Behavior Analytics,All_UEBA_Events,user,string,A multi-value attribute with the names of all users associated with an anomaly.
User and Entity Behavior Analytics,All_UEBA_Events,uba_time,time,The time the anomaly or threat was forwarded to Enterprise Security.
User and Entity Behavior Analytics,All_UEBA_Events,modify_time,time,The time an anomaly or threat was last modified by Splunk UBA.
User and Entity Behavior Analytics,All_UEBA_Events,start_time,time,The time an anomaly or threat was first identified by Splunk UBA.
User and Entity Behavior Analytics,All_UEBA_Events.UEBA_Anomalies,uba_model,time,The name of the Splunk UBA model that detected the anomaly.
User and Entity Behavior Analytics,All_UEBA_Events.UEBA_Anomalies,uba_model_version,string,The version of the Splunk UBA model that detected the anomaly.
