id,"Use_Case_Name",category,family,description
"3.1","Establish Standard Secure Configurations","3: Secure Configurations for Hardware and Software",System,"Establish standard secure configurations of your operating systems and software applications Standardized images should represent hardened versions of the underlying operating system and the applications installed on the system These images should be validated and refreshed on a regular basis to update their security configuration in light of recent vulnerabilities and attack vectors"
"3.2","Follow Strict Configuration Management","3: Secure Configurations for Hardware and Software",System,"Follow strict configuration management building a secure image that is used to build all new systems that are deployed in the enterprise  Any existing system that becomes compromised should be re-imaged with the secure build Regular updates or exceptions to this image should be integrated into the organizations change management processes  Images should be created for workstations servers and other system types used by the organization"
"3.3","Store Master Images on Securely configured Servers","3: Secure Configurations for Hardware and Software",System,"Store the master images on securely configured servers validated with integrity checking tools capable of continuous inspection and change management to ensure that only authorized changes to the images are possible Alternatively these master images can be stored in offline machines air-gapped from the production network with images copied via secure media to move them between the image storage servers and the production network"
"3.4","Perform Remote Administration Over Secure Channels","3: Secure Configurations for Hardware and Software",System,"Perform all remote administration of servers workstation network devices and similar equipment over secure channels Protocols such as telnet VNC RDP or others that do not actively support strong encryption should only be used if they are performed over a secondary encryption channel such as SSL TLS or IPSEC"
"3.5","Use File Integrity Checking Tools","3: Secure Configurations for Hardware and Software",System,"Use file integrity checking tools to ensure that critical system files (including sensitive system and application executables libraries and configurations) have not been altered The reporting system should have the ability to account for routine and expected changes highlight and alert on unusual or unexpected alterations show the history of configuration changes over time and identify who made the change (including the original logged-in account in the event of a user ID switch such as with the su or sudo command) These integrity checks should identify suspicious system alterations such as owner and permissions changes to files or directories the use of alternate data streams which could be used to hide malicious activities and the introduction of extra files into key system areas (which could indicate malicious payloads left by attackers or additional files inappropriately added during batch distribution processes)"
"3.6","Implement and test an automated configuration monitoring system","3: Secure Configurations for Hardware and Software",System,"Implement and test an automated configuration monitoring system that verifies all remotely testable secure configuration elements and alerts when unauthorized changes occur This includes detecting new listening ports new administrative users changes to group and local policy objects (where applicable) and new services running on a system Whenever possible use tools compliant with the Security Content Automation Protocol (SCAP) in order to streamline reporting and integration"
"3.7","Deploy System Configuration Management Tools","3: Secure Configurations for Hardware and Software",System,"Deploy system configuration management tools such as Active Directory Group Policy Objects for Microsoft Windows systems or Puppet for UNIX systems that will automatically enforce and redeploy configuration settings to systems at regularly scheduled intervals They should be capable of triggering redeployment of configuration settings on a scheduled manual or event-driven basis"
"4.1","Run Automated Vulnerability Scanning Tools","4: Continuous Vulnerability Assessment and Remediation",System,"Run automated vulnerability scanning tools against all systems on the network on a weekly or more frequent basis and deliver prioritized lists of the most critical vulnerabilities to each responsible system administrator along with risk scores that compare the effectiveness of system administrators and departments in reducing risk  Use a SCAP-validated vulnerability scanner that looks for both code-based vulnerabilities (such as those described by Common Vulnerabilities and Exposures entries) and configuration-based vulnerabilities (as enumerated by the Common Configuration Enumeration Project)"
"4.2","Correlate Event Logs With Vulnerability Scans","4: Continuous Vulnerability Assessment and Remediation",System,"Correlate event logs with information from vulnerability scans to fulfill two goals First personnel should verify that the activity of the regular vulnerability scanning tools  is itself logged Second personnel should be able to correlate attack detection events with prior vulnerability scanning results to determine whether the given exploit was used against a target known to be vulnerable"
"4.3","Perform Authenticated Vulnerability Scans","4: Continuous Vulnerability Assessment and Remediation",System,"Perform vulnerability scanning in authenticated mode either with agents running locally on each end system to analyze the security configuration or with remote scanners that are given administrative rights on the system being tested Use a dedicated account for authenticated vulnerability scans which should not be used for any other administrative activities and should be tied to specific machines at specific IP addresses  Ensure that only authorized employees have access to the vulnerability management user interface and that roles are applied to each user"
"4.4","Subscribe to Vulnerability Intelligence Services","4: Continuous Vulnerability Assessment and Remediation",System,"Subscribe to vulnerability intelligence services in order to stay aware of emerging exposures and use the information gained from this subscription to update the organizations vulnerability scanning activities on at least a monthly basis  Alternatively ensure that the vulnerability scanning tools you use are regularly updated with all relevant important security vulnerabilities"
"4.5","Deploy Automated Patch Management Tools","4: Continuous Vulnerability Assessment and Remediation",System,"Deploy automated patch management tools and software update tools for operating system and softwareapplications on all systems for which such tools are available and safe  Patches should be applied to all systems even systems that are properly air gapped"
"4.6","Monitor Scanning ","4: Continuous Vulnerability Assessment and Remediation",System,"Monitor logs associated with any scanning activity and associated administrator accounts to ensure that this activity is limited to the timeframes of legitimate scans  "
"4.7","Compare Vulnerability Scan Results","4: Continuous Vulnerability Assessment and Remediation",System,"Compare the results from back-to-back vulnerability scans to verify that vulnerabilities were addressed either by patching implementing a compensating control or documenting and accepting a reasonable business risk Such acceptance of business risks for existing vulnerabilities should be periodically reviewed to determine if newer compensating controls or subsequent patches can address vulnerabilities that were previously accepted or if conditions have changed increasing the risk"
"4.8","Establish a Process to Risk-Rate Vulnerabilities","4: Continuous Vulnerability Assessment and Remediation",System,"Establish a process to risk-rate vulnerabilities based on the exploitability and potential impact of the vulnerability and segmented by appropriate groups of assets (example DMZ servers internal network servers desktops laptops)  Apply patches for the riskiest vulnerabilities first  A phased rollout can be used to minimize the impact to the organization Establish expected patching timelines based on the risk rating level "
"5.1","Minimize Administrative Privileges","5: Controlled Use of Administrative Privileges",System,"Minimize administrative privileges and only use administrative accounts when they are required  Implement focused auditing on the use of administrative privileged functions and monitor for anomalous behavior"
"5.2","Use Automated Tools to Inventory Administrative Accounts","5: Controlled Use of Administrative Privileges",System,"Use automated tools to inventory all administrative accounts and validate that each person with administrative privileges on desktops laptops and servers is authorized by a senior executive"
"5.3","Change Default Passwords on New Devices","5: Controlled Use of Administrative Privileges",System,"Before deploying any new devices in a networked environment change all default passwords for applications operating systems routers firewalls wireless access points and other systems to have values consistent with administration-level accounts"
"5.4","Log and Alert When Administraive accounts are Added","5: Controlled Use of Administrative Privileges",System,"Configure systems to issue a log entry and alert when an account is added to or removed from a domain administrators group or when a new local administrator account is added on a system"
"5.5","Log and Alert Unsucceful Administrative Login Attempts","5: Controlled Use of Administrative Privileges",System,"Configure systems to issue a log entry and alert on any unsuccessful login to an administrative account"
"5.6","Use Multifactor Authentication for Administrative Access","5: Controlled Use of Administrative Privileges",System,"Use multifactor authentication for all administrative access including domain administrative access  Multi-factor authentication can include a variety of techniques to include the use of smart cards certificates One Time Password (OTP) tokens biometrics or other similar authentication methods"
"5.7","Use Long Passwords When Multi-Factor Authentication is Not Available","5: Controlled Use of Administrative Privileges",System,"Where multi-factor authentication is not supported user accounts shall be required to use long passwords on the system (longer than 14 characters)"
"5.8","Access Systems Using Non-Administrative Accounts","5: Controlled Use of Administrative Privileges",System,"Administrators should be required to access a system using a fully logged and non-administrative account Then once logged on to the machine without administrative privileges the administrator should transition to administrative privileges using tools such as Sudo on LinuxUNIX RunAs on Windows and other similar facilities for other types of systems"
"5.9","Use Dedicated Machines for Administrative Access","5: Controlled Use of Administrative Privileges",System,"Administrators shall use a dedicated machine for all administrative tasks or tasks requiring elevated access This machine shall be isolated from the organizations primary network and not be allowed Internet access This machine shall not be used for reading e-mail composing documents or surfing the Internet"
"6.1","Configure Multiple Synchronized Time Sources","6: Maintenance, Monitoring, and Analysis of Audit Logs",System,"Include at least two synchronized time sources from which all servers and network equipment retrieve time information on a regular basis so that timestamps in logs are consistent"
"6.2","Validate Audit Log Settings","6: Maintenance, Monitoring, and Analysis of Audit Logs",System,"Validate audit log settings for each hardware device and the software installed on it ensuring that logs include a date timestamp source addresses destination addresses and various other useful elements of each packet andor transaction Systems should record logs in a standardized format such as syslog entries or those outlined by the Common Event Expression initiative If systems cannot generate logs in a standardized format log normalization tools can be deployed to convert logs into such a format"
"6.3","Ensure Adequate Log Storage Space","6: Maintenance, Monitoring, and Analysis of Audit Logs",System,"Ensure that all systems that store logs have adequate storage space for the logs generated on a regular basis so that log files will not fill up between log rotation intervals  The logs must be archived and digitally signed on a periodic basis"
"6.4","Identify and Investigate Anolalies in Logs","6: Maintenance, Monitoring, and Analysis of Audit Logs",System,"Have security personnel andor system administrators run biweekly reports that identify anomalies in logs They should then actively review the anomalies documenting their findings"
"6.5","Log Allowed and Blocked Traffic on Boundary Devices","6: Maintenance, Monitoring, and Analysis of Audit Logs",System,"Configure network boundary devices including firewalls network-based IPS and inbound and outbound proxies to verbosely log all traffic (both allowed and blocked) arriving at the device"
"6.6","Deploy SIEM or LOG ANalytic Tools","6: Maintenance, Monitoring, and Analysis of Audit Logs",System,"Deploy a SIEM (Security Information and Event Management) or log analytic tools for log aggregation and consolidation from multiple machines and for log correlation and analysis  Using the SIEM tool system administrators and security personnel should devise profiles of common events from given systems so that they can tune detection to focus on unusual activity avoid false positives more rapidly identify anomalies and prevent overwhelming analysts with insignificant alerts "
"7.1","Use Only Supported Web Browsers and Email Clients","7: Email and Web Browser Protections",System,"Ensure that only fully supported web browsers and email clients are allowed to execute in the organization ideally only using the latest version of the browsers provided by the vendor in order to take advantage of the latest security functions and fixes"
"7.2","Uninstall Unnecessary Browser and Email Plugins","7: Email and Web Browser Protections",System,"Uninstall or disable any unnecessary or unauthorized browser or email client plugins or add-on applications Each plugin shall utilize application  URL whitelisting and only allow the use of the application for pre-approved domains"
"7.3","Limit Unnecessary Scripting Languages in Browsers and Email Clients","7: Email and Web Browser Protections",System,"Limit the use of unnecessary scripting languages in all web browsers and email clients This includes the use of languages such as ActiveX and JavaScript on systems where it is unnecessary to support such capabilities"
"7.4","Log all URL Requests","7: Email and Web Browser Protections",System,"Log all URL requests from each of the organizations systems whether onsite or a mobile device in order to identify potentially malicious activity and assist incident handlers with identifying potentially compromised systems"
"7.5","Deploy Separate Browser Configurations for Different Uses","7: Email and Web Browser Protections",System,"Deploy two separate browser configurations to each system One configuration should disable the use of all plugins unnecessary scripting languages and generally be configured with limited functionality and be used for general web browsing The other configuration shall allow for more browser functionality but should only be used to access specific websites that require the use of such functionality"
"7.6","Maintain URL Filtering Using Categorization Services","7: Email and Web Browser Protections",System,"The organization shall maintain and enforce network based URL filters that limit a systems ability to connect to websites not approved by the organization The organization shall subscribe to URL categorization services to ensure that they are up-to-date with the most recent website category definitions available Uncategorized sites shall be blocked by default This filtering shall be enforced for each of the organizations systems whether they are physically at an organizations facilities or not"
"7.7","Implement the Sender Policy Framework (SPF)","7: Email and Web Browser Protections",System,"To lower the chance of spoofed e-mail messages implement the Sender Policy Framework (SPF) by deploying SPF records in DNS and enabling receiver-side verification in mail servers"
"7.8","Scan E-mail Messages for Malicious Code","7: Email and Web Browser Protections",System,"Scan and block all e-mail attachments entering the organizations e-mail gateway if they contain malicious code or file types that are unnecessary for the organizations business This scanning should be done before the e-mail is placed in the users inbox This includes e-mail content filtering and web content filtering"
"8.1","Continuously monitor endpoints with automated tools.","8: Malware Defenses",System,"Employ automated tools to continuously monitor workstations servers and mobile devices with anti-virus anti-spyware personal firewalls and host-based IPS functionality All malware detection events should be sent to enterprise anti-malware administration tools and event log servers"
"8.2","Employ anti-malware software with centralized infrastructure.","8: Malware Defenses",System,"Employ anti-malware software that offers a centralized infrastructure that compiles information on file reputations or have administrators manually push updates to all machines After applying an update automated systems should verify that each system has received its signature update"
"8.3","Limit external devices to those with a documented busniess need.","8: Malware Defenses",System,"Limit use of external devices to those with an approved documented business need Monitor for use and attempted use of external devices Configure laptops workstations and servers so that they will not auto-run content from removable media like USB tokens (ie thumb drives) USB hard drives CDsDVDs FireWire devices external serial advanced technology attachment devices and mounted network shares Configure systems so that they automatically conduct an anti-malware scan of removable media when inserted"
"8.4","Employ anti-exploitation features on endpoints.","8: Malware Defenses",System,"Enable anti-exploitation features such as Data Execution Prevention (DEP) Address Space Layout Randomization (ASLR) virtualizationcontainerization etc For increased protection deploy capabilities such as Enhanced Mitigation Experience Toolkit (EMET) that can be configured to apply these protections to a broader set of applications and executables"
"8.5","Use network-based anti-malware tools.","8: Malware Defenses",System,"Use network-based anti-malware tools to identify executables in all network traffic and use techniques other than signature-based detection to identify and filter out malicious content before it arrives at the endpoint"
"8.6","Enable DNS query logging.","8: Malware Defenses",System,"Enable domain name system (DNS) query logging to detect hostname lookup for known malicious C2 domains"
"9.1","Ensure all network protocols and services have a vailid businees need.","9: Limitation and Control of Network Ports",System,"Ensure that only ports protocols and services with validated business needs are running on each system"
"9.2","Apply host-based firewalls.","9: Limitation and Control of Network Ports",System,"Apply host-based firewalls or port filtering tools on end systems with a default-deny rule that drops all traffic except those services and ports that are explicitly allowed"
"9.3","Perform automated ports scans and compare with baseline.","9: Limitation and Control of Network Ports",System,"Perform automated port scans on a regular basis against all key servers and compared to a known effective baseline  If a change that is not listed on the organizations approved baseline is discovered an alert should be generated and reviewed"
"9.4","Move servers to private networks whenever possible.","9: Limitation and Control of Network Ports",System,"Verify any server that is visible from the Internet or an untrusted network and if it is not required for business purposes move it to an internal VLAN and give it a private address"
"9.5","Operate critical services (DNS, email, web) on separate servers.","9: Limitation and Control of Network Ports",System,"Operate critical services on separate physical or logical host machines such as DNS file mail web and database servers"
"9.6","Place application firewalls in front of critical servers.","9: Limitation and Control of Network Ports",System,"Place application firewalls in front of any critical servers to verify and validate the traffic going to the server  Any unauthorized services or traffic should be blocked and an alert generated"
"10.1","Ensure systems are backed up at least weekly.","10: Data Recovery Capability",System,"Ensure that each system is automatically backed up on at least a weekly basis and more often for systems storing sensitive information To help ensure the ability to rapidly restore a system from backup the operating system application software and data on a machine should each be included in the overall backup procedure These three components of a system do not have to be included in the same backup file or use the same backup software There should be multiple backups over time so that in the event of malware infection restoration can be from a version that is believed to predate the original infection All backup policies should be compliant with any regulatory or official requirements"
"10.2","Perform test data restorations.","10: Data Recovery Capability",System,"Test data on backup media on a regular basis by performing a data restoration process to ensure that the backup is properly working"
"10.3","Ensure backup data is properly protected.","10: Data Recovery Capability",System,"Ensure that backups are properly protected via physical security or encryption when they are stored as well as when they are moved across the network  This includes remote backups and cloud services"
"10.4","Ensure critical systems are backed up to non continuously addressable media.","10: Data Recovery Capability",System,"Ensure that key systems have at least one backup destination that is not continuously addressable through operating system calls  This will mitigate the risk of attacks like CryptoLocker which seek to encrypt or damage data on all addressable data shares including backup destinations"
"11.1","Compare network device configurations against standard secure baselines.","11: Secure Configurations for Network Devices",Network,"Compare firewall router and switch configuration against standard secure configurations defined for each type of network device in use in the organization The security configuration of such devices should be documented reviewed and approved by an organization change control board Any deviations from the standard configuration or updates to the standard configuration should be documented and approved in a change control system"
"11.2","Record firewall rules in a configuration management database.","11: Secure Configurations for Network Devices",Network,"All new configuration rules beyond a baseline-hardened configuration that allow traffic to flow through network security devices such as firewalls and network-based IPS should be documented and recorded in a configuration management system with a specific business reason for each change a specific individuals name responsible for that business need and an expected duration of the need"
"11.3","Use automaed tools to verify device congiuration and detect changes.","11: Secure Configurations for Network Devices",Network,"Use automated tools to verify standard device configurations and detect changes All alterations to such files should be logged and automatically reported to security personnel"
"11.4","Manage network devices using two-factor authentication and encrypted sessions.","11: Secure Configurations for Network Devices",Network,"Manage network devices using two-factor authentication and encrypted sessions"
"11.5","Install updates for network devices.","11: Secure Configurations for Network Devices",Network,"Install the latest stable version of any security-related updates on all network devices"
"11.6","Use a dedicated secure management machine for administrative tasks.","11: Secure Configurations for Network Devices",Network,"Network engineers shall use a dedicated machine for all administrative tasks or tasks requiring elevated access This machine shall be isolated from the organizations primary network and not be allowed Internet access This machine shall not be used for reading e-mail composing documents or surfing the Internet"
"11.7","Use out-of-band management networks.","11: Secure Configurations for Network Devices",Network,"Manage the network infrastructure across network connections that are separated from the business use of that network relying on separate VLANs or preferably on entirely different physical connectivity for management sessions for network devices"
"12.1","Detect and alert on abnormally long TCP sessions.","12: Boundary Defense",Network,"To help identify covert channels exfiltrating data through a firewall configure the built-in firewall session tracking mechanisms included in many commercial firewalls to identify TCP sessions that last an unusually long time for the given organization and firewall device alerting personnel about the source and destination addresses associated with these long sessions"
"12.1","Use network black-lists or white-lists.","12: Boundary Defense",Network,"Deny communications with (or limit data flow to) known malicious IP addresses (black lists) or limit access only to trusted sites (whitelists) Tests can be periodically carried out by sending packets from bogon source IP addresses (non-routable or otherwise unused IP addresses) into the network to verify that they are not transmitted through network perimeters Lists of bogon addresses are publicly available on the Internet from various sources and indicate a series of IP addresses that should not be used for legitimate traffic traversing the Internet"
"12.2","Capture network flow metadata or full packet payload on DMZ networks.","12: Boundary Defense",Network,"On DMZ networks configure monitoring systems (which may be built in to the IDS sensors or deployed as a separate technology) to record at least packet header information and preferably full packet header and payloads of the traffic destined for or passing through the network border  This traffic should be sent to a properly configured Security Information Event Management (SIEM) or log analytics system so that events can be correlated from all devices on the network"
"12.3","Deploy network-based IDS sensors.","12: Boundary Defense",Network,"Deploy network-based IDS sensors on Internet and extranet DMZ systems and networks that look for unusual attack mechanisms and detect compromise of these systems These network-based IDS sensors may detect attacks through the use of signatures network behavior analysis or other mechanisms to analyze traffic"
"12.4","Deploy network-based IPS sensors.","12: Boundary Defense",Network,"Network-based IPS devices should be deployed to complement IDS by blocking known bad signatures or the behavior of potential attacks  As attacks become automated methods such as IDS typically delay the amount of time it takes for someone to react to an attack  A properly configured network-based IPS can provide automation to block bad traffic When evaluating network-based IPS products include those using techniques other than signature-based detection (such as virtual machine or sandbox-based approaches) for consideration"
"12.5","Use an application-aware filtering proxy at the Internet boundary.","12: Boundary Defense",Network,"Design and implement network perimeters so that all outgoing network traffic to the Internet must pass through at least one application layer filtering proxy server The proxy should support decrypting network traffic logging individual TCP sessions blocking specific URLs domain names and IP addresses to implement a black list and applying whitelists of allowed sites that can be accessed through the proxy while blocking all other sites  Organizations should force outbound traffic to the Internet through an authenticated proxy server on the enterprise perimeter"
"12.6","Require 2-factor authentication for remote login access.","12: Boundary Defense",Network,"Require all remote login access (including VPN dial-up and other forms of access that allow login to internal systems) to use two-factor authentication"
"12.7","Maintain contro ova all remote systems with access to the internal network.","12: Boundary Defense",Network,"All enterprise devices remotely logging into the internal network should be managed by the enterprise with remote control of their configuration installed software and patch levels For third-party devices (eg subcontractorsvendors) publish minimum security standards for access to the enterprise network and perform a security scan before allowing access"
"12.8","Scan for back-channel connections.","12: Boundary Defense",Network,"Periodically scan for back-channel connections to the Internet that bypass the DMZ including unauthorized VPN connections and dual-homed hosts connected to the enterprise network and to other networks via wireless dial-up modems or other mechanisms  "
"12.9","Deploy network metadata collection on DMZ networks.","12: Boundary Defense",Network,"Deploy NetFlow collection and analysis to DMZ network flows to detect anomalous activity"
"13.1","Identify sensitive information tht requires encryption.","13: Data Protection",Network,"Perform an assessment of data to identify sensitive information that requires the application of encryption and integrity controls"
"13.2","Deploy hard drive encryption hardware.","13: Data Protection",Network,"Deploy approved hard drive encryption software to mobile devices and systems that hold sensitive data"
"13.3","Identify sensitive data transfer or exfiltration.","13: Data Protection",Network,"Deploy an automated tool on network perimeters that monitors for sensitive information (eg personally identifiable information) keywords and other document characteristics to discover unauthorized attempts to exfiltrate data across network boundaries and block such transfers while alerting information security personnel "
"13.4","Conduct automated scans for plain-text sensitive data at rest.","13: Data Protection",Network,"Conduct periodic scans of server machines using automated tools to determine whether sensitive data (eg personally identifiable information health credit card or classified information) is present on the system in clear text These tools which search for patterns that indicate the presence of sensitive information can help identify if a business or technical process is leaving behind or otherwise leaking sensitive information"
"13.5","Disable USB storage if possible.","13: Data Protection",Network,"If there is no business need for supporting such devices configure systems so that they will not write data to USB tokens or USB hard drives If such devices are required enterprise software should be used that can configure systems to allow only specific USB devices (based on serial number or other unique property) to be accessed and that can automatically encrypt all data placed on such devices An inventory of all authorized devices must be maintained"
"13.6","Implement network-based data loss prevention (DLP) systems.","13: Data Protection",Network,"Use network-based DLP solutions to monitor and control the flow of data within the network Any anomalies that exceed the normal traffic patterns should be noted and appropriate action taken to address them"
"13.7","Monitor egress traffic for the presence of encrypted communication.","13: Data Protection",Network,"Monitor all traffic leaving the organization and detect any unauthorized use of encryption Attackers often use an encrypted channel to bypass network security devices Therefore it is essential that organizations be able to detect rogue connections terminate the connection and remediate the infected system"
"13.8","Block access to known file transfer and e-mail exfiltration websites.","13: Data Protection",Network,"Block access to known file transfer and e-mail exfiltration websites"
"13.9","Use host-based DLP.","13: Data Protection",Network,"Use host-based data loss prevention (DLP) to enforce ACLs even when data is copied off a server  In most organizations access to the data is controlled by ACLs that are implemented on the server  Once the data have been copied to a desktop system the ACLs are no longer enforced and the users can send the data to whomever they want"
"14.1","Segment networks based on data classification.","14: Controlled Access Based on the Need to Know",Application,"Segment the network based on the label or classification level of the information stored on the servers Locate all sensitive information on separated VLANS with firewall filtering to ensure that only authorized individuals are only able to communicate with systems necessary to fulfill their specific responsibilities"
"14.2","Encrypt data transmitted over untrusted networks.","14: Controlled Access Based on the Need to Know",Application,"All communication of sensitive information over less-trusted networks should be encrypted Whenever information flows over a network with a lower trust level the information should be encrypted"
"14.3","Require VLAN capabilities to limit an attacker's lateral movement. ","14: Controlled Access Based on the Need to Know",Application,"All network switches will enable Private Virtual Local Area Networks (VLANs) for segmented workstation networks to limit the ability of devices on a network to directly communicate with other devices on the subnet and limit an attackers ability to laterally move to compromise neighboring systems"
"14.4","Require authentication and authorization for all network resources.","14: Controlled Access Based on the Need to Know",Application,"All information stored on systems shall be protected with file system network share claims application or database specific access control lists These controls will enforce the principal that only authorized individuals should have access to the information based on their need to access the information as a part of their responsibilities"
"14.5","Encrypt sensitive data at rest.","14: Controlled Access Based on the Need to Know",Application,"Sensitive information stored on systems shall be encrypted at rest and require a secondary authentication mechanism not integrated into the operating system in order to access the information"
"14.6","Enable audit logging and special authentication for nonpublic sensitive data.","14: Controlled Access Based on the Need to Know",Application,"Enforce detailed audit logging for access to nonpublic data and special authentication for sensitive data"
"14.7","Remove unnecessary or infrequently used systesm from the network.","14: Controlled Access Based on the Need to Know",Application,"Archived data sets or systems not regularly accessed by the organization shall be removed from the organizations network These systems shall only be used as stand alone systems (disconnected from the network) by the business unit needing to occasionally use the system or completely virtualized and powered off until needed"
"15.1","Ensure wireless devices match and authorized secure baseline configuration.","15: Wireless Access Control",Network,"Ensure that each wireless device connected to the network matches an authorized configuration and security profile with a documented owner of the connection and a defined business need Organizations should deny access to those wireless devices that do not have such a configuration and profile"
"15.2","Scan for rogue access points.","15: Wireless Access Control",Network,"Configure network vulnerability scanning tools to detect wireless access points connected to the wired network Identified devices should be reconciled against a list of authorized wireless access points Unauthorized (ie rogue) access points should be deactivated"
"15.3","Implement wireless intrusion detection systems (WIDS.)","15: Wireless Access Control",Network,"Use wireless intrusion detection systems (WIDS) to identify rogue wireless devices and detect attack attempts and successful compromises In addition to WIDS all wireless traffic should be monitored by WIDS as traffic passes into the wired network"
"15.4","Establish secure wireless client configurations.","15: Wireless Access Control",Network,"Where a specific business need for wireless access has been identified configure wireless access on client machines to allow access only to authorized wireless networks For devices that do not have an essential wireless business purpose disable wireless access in the hardware configuration (basic inputoutput system or extensible firmware interface)"
"15.5","Require AES encryption and WPA2 protection on all wireless networks.","15: Wireless Access Control",Network,"Ensure that all wireless traffic leverages at least Advanced Encryption Standard (AES) encryption used with at least Wi-Fi Protected Access 2 (WPA2) protection"
"15.6","Ensure strong wireless authentication protocols.","15: Wireless Access Control",Network,"Ensure that wireless networks use authentication protocols such as Extensible Authentication Protocol-Transport Layer Security (EAPTLS) which provide credential protection and mutual authentication"
"15.7","Disable peer-to-peer wireless network capabilities on wireless clients.","15: Wireless Access Control",Network,"Disable peer-to-peer wireless network capabilities on wireless clients"
"15.8","Disable personal wireless protocosl such as Bluetooth if possibe.","15: Wireless Access Control",Network,"Disable wireless peripheral access of devices (such as Bluetooth) unless such access is required for a documented business need"
"15.9","Establish separate VLANs for BYOD devices.","15: Wireless Access Control",Network,"Create separate virtual local area networks (VLANs) for BYOD systems or other untrusted devices Internet access from this VLAN should go through at least the same border as corporate traffic Enterprise access from this VLAN should be treated as untrusted and filtered and audited accordingly"
"16.1","Disable unnecessary system accounts.","16: Account Monitoring and Control",Application,"Review all system accounts and disable any account that cannot be associated with a business process and owner"
"16.1","Identify and alert when users access systems outside of established baseline behavior.","16: Account Monitoring and Control",Application,"Profile each users typical account usage by determining normal time-of-day access and access duration Reports should be generated that indicate users who have logged in during unusual hours or have exceeded their normal login duration This includes flagging the use of the users credentials from a computer other than computers on which the user generally works"
"16.11","Require multi-factor authentication for accounts with access to sensitive information.","16: Account Monitoring and Control",Application,"Require multi-factor authentication for all user accounts that have access to sensitive data or systems Multi-factor authentication can be achieved using smart cards certificates One Time Password (OTP) tokens or biometrics"
"16.12","Use strong passwords.","16: Account Monitoring and Control",Application,"Where multi-factor authentication is not supported user accounts shall be required to use long passwords on the system (longer than 14 characters)"
"16.13","Encrypt all authentication credentials during transit.","16: Account Monitoring and Control",Application,"Ensure that all account usernames and authentication credentials are transmitted across networks using encrypted channels"
"16.14","Protect and monitor access to authentication files.","16: Account Monitoring and Control",Application,"Verify that all authentication files are encrypted or hashed and that these files cannot be accessed without root or administrator privileges  Audit all access to password files in the system"
"16.2","Estabish and enforce account exiration dates.","16: Account Monitoring and Control",Application,"Ensure that all accounts have an expiration date that is monitored and enforced"
"16.3","Revoke accounts upon employee/contractor termination. ","16: Account Monitoring and Control",Application,"Establish and follow a process for revoking system access by disabling accounts immediately upon termination of an employee or contractor Disabling instead of deleting accounts allows preservation of audit trails"
