Data_Source_Name,Data_Source_Type,Data_Source_Description
DS014WebServer,Data Source,"Web server logs allow  attribution of activity to a specific source ip and user when authenticated.  The logs are detailed records of every transaction: every time a browser  requests a web page, Apache logs details include items such as the time,  remote IP address, browser type and page requested. Web Servers also log  various error conditions such as a request for a missing file, attempts to  access a file without appropriate permissions or problems with extension  modules. Web Server logs are criti"
DS015ConfigurationManagement,Data Source,"Configuration management  solution such as VMware Vcenter, MAAS, Puppet, Chef, System Center  Configuration Manager, and System Center Virtualization Manager. Events  generated by these systems can provide valuable security investigations by  providing information about who and what changes have been applied to  systems. Additional information such as the base image utilized, birth and  death timestamps provide data useful to identify windows of vulnerability."
DS016DataLossPrevention,Data Source,Data loss prevention solutions  can identify human and automated activities as they interact with restricted  information creating an audit trail of attempted actions and the systems  response such as allow or block.
DS017PhysicalSecurity,Data Source,"Most organizations use  automated systems to secure physical access to facilities. Historically,  these have been simple magnetic strips affixed to employee badges; however,  locations with stringent security requirements may use some form of  a biometric reader or digital key. Regardless of the technology, the  systems compare an individual's identity with a database and activate doors  when the user is authorized to enter a particular location. As digital  systems, badge readers record information su"
DS018VulnerabilityDetection,Data Source,"An effective way to find  security holes is to examine one's infrastructure from the attacker's point  of view. Vulnerability scans probe an organization's network for known  software defects that provide entry points for external agents. The scans  yield data about open ports and IP addresses that can be used by malicious  agents to gain entry to a particular system or entire network. Systems often  keep network services running by default, even when they aren't required for  a particular server. The"
DS019PatchManagement,Data Source,"Keeping operating systems and  applications updated with the latest bug fixes and security patches is an  essential task that can prevent unplanned downtime, random application  crashes and security breaches. Although commercial apps and OSs often have  embedded patching software, some organizations use independent patch  management software to consolidate patch management and ensure the consistent  application of patches across their software fleet and to build patch jobs  for custom, internal applic"
DS020HostIntrustionDetection,Data Source,Host based Intrusion Detection  events provide signature based detection of changes that could weaken the  security posture of the host based on changes to entire files or specific  configuration. Such data can be very valuable in identifying when critical changes  have occurred in the environment.
DS021Telephony,Data Source,"Real-time business  communications no longer are limited to voice calls provided by Plain Old  Telephone Service (POTS); instead, voice, video, text messaging and web  conferences are IP applications delivered over existing enterprise networks.  Unlike traditional client-server or web applications, telephony and other  communications applications have strict requirements on network quality of  service, latency and packet loss, making service quality and reliability much  more sensitive to network condi"
DS022Performance,Data Source,"Measures of system activity  such as CPU load, memory and disk usage, and I/O traffic are the IT  equivalent of EKGs to a doctor: the vital signs that show system health.  Recording these measures provides a record of system activity over time that  shows normal, baseline levels and unusual events. By registering myriad  system parameters, performance logs also can highlight mismatches between  system capacity and application requirements, such as a database using all  available system memory and frequ"
DS023CrashReporting,Data Source,"Crash reports including summary  of dumps, exceptions, and hangs can indicate attempts at exploitation of  processes by malicious code or significant programing errors allowing  possible future exploitation or failure of business services."
DS024ApplicationServer,Data Source,"Application server logs,  considering the actual business application, middleware such as Tomcat, and  run time logs such as java runtime. contain a wealth of information created  when users and systems interact. Anomalies in the logs can indicate potential  failures or compromise attempts."
DS025IPAddressAssignment,Data Source,"The assignment of a new IP  address on the network indicates the precences of a new device. Software  solutions such as IPAM, DHCP, and VPN manage the temporary and long term  assignments of addresses and can be a rich source of information for asset  identification."
DS026WebApplicationFW,Data Source,"Web Application firewalls may  be present as a network application, cloud hosted solution or module loaded  in the web server. Using real time pattern matching the solution will detect  commodity attacks against web application and where possible identify or  prevent actual compromise."
DS027EndpointBackup,Data Source,Backup end restore activities  can an provide valuable insight into the activities of malware and malicious  internal users. In particular detection of destructive software via file  change or compromise of sensitive information via restoration to an alternate  location.
DS028NetworkDeviceAssociation,Data Source,Network device associate occurs  when a new device is attached to a wired or wireless lan. The association  process will record the mac address of the device connect regardless of the  network devices authentication. When correlated with DS025IPAddressAssignment  and DS003Authentication for device or network use rapid identification of an  asset owner is possible
DS029DatabaseServer,Data Source,Database Server logs and  metrics present utilization data which can be used to predict future capacity  and performance
DS030NetworkLoadBalancer,Data Source,A load balancer serves as the  single point of contact for clients. The load balancer distributes incoming  traffic across multiple targets. This increases the availability of your  application. You add one or more listeners to your load balancer.
DS031ApplicationLoadBalancer,Data Source,"An Application Load Balancer  functions at the application layer, the seventh layer of the Open Systems  Interconnection (OSI) model. After the load balancer receives a request, it  evaluates the listener rules in priority order to determine which rule to apply,  and then selects a target from the target group for the rule action. You can  configure listener rules to route requests to different target groups based  on the content of the application traffic. Routing is performed independently  for each"
DS032DNSGlobalLoadBalancer,Data Source,"GSLB works at the DNS level to  distribute requests.  Each datacenter  has its own GSLB server, and all of the servers broadcast an identical IP  address to the Internet.  Any request  for this IP address is automatically routed to the closest server via BGP.  That server then chooses where to direct the user depending on the designated  load-balancing ratio.  Once a site has  been chosen, the server responds to the user's request with the IP address of  the local load-balancing pool at that site."
DS033SystemLogs,Data Source,"Includes activities such as  service control, batch processing launch and other non security activities  logged by the host operating system."
DS034ApplicationLogs,Data Source,Internal logs produced by  custom or commercial applications used to monitor activity of interaction  with the application. Upstream errors impacting availability.
DS035NetworkFlow,Data Source,Network Flow data is distinct  from DS010NetworkCommunication as is not stateful individual events can be  generated for each direction of traffic flow and is generally sampled that is  an event is logged periodically for flow between the last event and current  time. As such it can not be used for detections such as number of  connections.
DS036ExternalAlert,Data Source,"External alerts or alarms are  generated by external monitoring solutions for example an external system  which may detect a brute force attack, distributed denial of service attach,  or simply a server running low on disk space. These alerts are not equivalent  to the original machine data or telemetry."
DS037WirelessIntrusion,Data Source,Sensor devices that detect  unknown access points and BSSIDs broadcasting within a customers immediate  area
