"Use_Case_Number","Use_Case_Name","Application_Context"
UCCUS1034,"Splunk Servers storage issue - HPOV","DA-ESS-UseCases"
UCCUS1035,"Splunk service restart failed - HPOV","DA-ESS-UseCases"
UCCUS1036,SplunkIllumio,"DA-ESS-UseCases"
UCCUS1037,"Spoofed tablet device operating on CUST network","DA-ESS-UseCases"
UCCUS1038,"Squid - DNS Sinkhole","DA-ESS-UseCases"
UCCUS1039,"Squid - Excessive sessions over 15 mins","DA-ESS-UseCases"
UCCUS104,"AppLocker - Comparison of Today’s Events Versus Historical Values","DA-ESS-UseCases"
UCCUS1040,"Squid Excessive sessions over 1 day","DA-ESS-UseCases"
UCCUS1041,"Stage Access to In-Scope Resources","DA-ESS-UseCases"
UCCUS1042,"Stage Access to In-Scope Unencrypted Resources","DA-ESS-UseCases"
UCCUS1043,"Stage Authentication Against a New Domain Controller","DA-ESS-UseCases"
UCCUS1044,"Stage Basic Brute Force Detection","DA-ESS-UseCases"
UCCUS1045,"Stage Basic Malware Outbreak","DA-ESS-UseCases"
UCCUS1046,"Stage Basic Scanning","DA-ESS-UseCases"
UCCUS1047,"Stage Basic TOR Traffic Detection","DA-ESS-UseCases"
UCCUS1048,"Stage Connection to New Domain","DA-ESS-UseCases"
UCCUS1049,"Stage Increase in # of Hosts Logged into","DA-ESS-UseCases"
UCCUS105,"AppLocker - Number of Unique Blocked Apps Per Region","DA-ESS-UseCases"
UCCUS1050,"Stage Increase in Pages Printed","DA-ESS-UseCases"
UCCUS1051,"Stage Large Web Upload","DA-ESS-UseCases"
UCCUS1052,"Stage Multiple Infections on Host","DA-ESS-UseCases"
UCCUS1053,"Stage New Interactive Logon from a Service Account","DA-ESS-UseCases"
UCCUS1054,"Stage New Local Admin Account","DA-ESS-UseCases"
UCCUS1055,"Stage Recurring Infection on Host","DA-ESS-UseCases"
UCCUS1056,"Stage Sources Sending a High Volume of DNS Traffic","DA-ESS-UseCases"
UCCUS1057,"Stage Windows Event Log Clearing Events","DA-ESS-UseCases"
UCCUS1058,"Static Health Overview - Message Processing Rate","DA-ESS-UseCases"
UCCUS1059,"Static Health Overview - Non-Reporting Servers","DA-ESS-UseCases"
UCCUS106,"AppLocker - Percentage of Event IDs","DA-ESS-UseCases"
UCCUS1060,"Static Health Overview - Outbound Mail Reputation","DA-ESS-UseCases"
UCCUS1061,"Static Health Overview - Service Availability","DA-ESS-UseCases"
UCCUS1062,"Static Health Overview - Top Local Recipients","DA-ESS-UseCases"
UCCUS1063,"Static Health Overview - Top Local Senders","DA-ESS-UseCases"
UCCUS1064,"Stealthwatch alarms for traffic to the Internet from EOSL systems","DA-ESS-UseCases"
UCCUS1065,"Succesful login from compromised account","DA-ESS-UseCases"
UCCUS1066,"Succesful out of band Logon to DC with a -4 account","DA-ESS-UseCases"
UCCUS1067,"Successful Anonymous Authentication to Active Directory Detected","DA-ESS-UseCases"
UCCUS1068,"Successful Intrusion","DA-ESS-UseCases"
UCCUS1069,"Successful local login to financially significant server","DA-ESS-UseCases"
UCCUS107,"AppLocker - Percentage of Event Levels","DA-ESS-UseCases"
UCCUS1070,"Successful login after mutliple failed","DA-ESS-UseCases"
UCCUS1071,"Summary Search - Executive - Top 10 External Potential Risks","DA-ESS-UseCases"
UCCUS1072,"Summary Search - Executive - Top 10 Internal Potential Risks","DA-ESS-UseCases"
UCCUS1073,"Summary Search - Executive - Total Notable Security Events Sent to SOC","DA-ESS-UseCases"
UCCUS1074,"Suspicious -4 and -5 logon activity after Red Forest Cut-Over","DA-ESS-UseCases"
UCCUS1075,"Suspicious Access-Interactive logon using","DA-ESS-UseCases"
UCCUS1076,"Suspicious Download of Windows Script Files","DA-ESS-UseCases"
UCCUS1077,"Suspicious Dynamic DNS Host","DA-ESS-UseCases"
UCCUS1078,"Suspicious IP Traffic - Escalate Immediately - CTI","DA-ESS-UseCases"
UCCUS1079,"Suspicious McAfee AV deactivation","DA-ESS-UseCases"
UCCUS108,"AppLocker - Time Distribution of All Events","DA-ESS-UseCases"
UCCUS1080,"Suspicious Process Installed on Domain Controller - CTI","DA-ESS-UseCases"
UCCUS1081,"Suspicious RDP traffic detected","DA-ESS-UseCases"
UCCUS1082,"Suspicious Traffic Detected by Country","DA-ESS-UseCases"
UCCUS1083,"Suspicious Traffic Detected by Country - Destination Port","DA-ESS-UseCases"
UCCUS1084,"Suspicious file extensions transferred","DA-ESS-UseCases"
UCCUS1085,"Suspicious redirects from CUST websites","DA-ESS-UseCases"
UCCUS1086,"Suspicious string or regex execution","DA-ESS-UseCases"
UCCUS1087,"Suspicious user activity detected over long period","DA-ESS-UseCases"
UCCUS1088,"Swift server login from Non-Jump Servers - Non-User Accounts","DA-ESS-UseCases"
UCCUS1089,"Swift server login from Non-Jump Servers - Users","DA-ESS-UseCases"
UCCUS109,"AppLocker - Top 100 Application File Paths Blocked","DA-ESS-UseCases"
UCCUS1090,"Symantec - Lateral Movement","DA-ESS-UseCases"
UCCUS1091,"Symantec - Multiple signature update failures","DA-ESS-UseCases"
UCCUS1092,"Symantec CWP Malware Alert Detect - CTI","DA-ESS-UseCases"
UCCUS1093,"Symantec DCS-SWIFT Server Communication With External Source","DA-ESS-UseCases"
UCCUS1094,"Symantec Quarantined Events - Nightly Report","DA-ESS-UseCases"
UCCUS1095,"Symatec ATP malicious file hashes observed in Endpoint","DA-ESS-UseCases"
UCCUS1096,"System - General - Untriaged notable events","DA-ESS-UseCases"
UCCUS1097,"System Account External Login","DA-ESS-UseCases"
UCCUS1098,"System Infected Risk Modifier - CTI","DA-ESS-UseCases"
UCCUS1099,"System risk threshold exceeded","DA-ESS-UseCases"
UCCUS110,"AppLocker - Top 100 Machine Names Blocked","DA-ESS-UseCases"
UCCUS1100,"System with Malware Infection - CTI","DA-ESS-UseCases"
UCCUS1101,"Systems not designed to run SSH begin SSH comms","DA-ESS-UseCases"
UCCUS1102,"TRM Reports - AV Server not compliant","DA-ESS-UseCases"
UCCUS1103,"TRM Reports - AV Server not compliant (Weekly)","DA-ESS-UseCases"
UCCUS1104,"TRM Reports - AV Workstation not compliant","DA-ESS-UseCases"
UCCUS1105,"TRM Reports - Altiris Agent not compliant","DA-ESS-UseCases"
UCCUS1106,"TRM Reports - Bladelogic not compliant","DA-ESS-UseCases"
UCCUS1107,"TRM Reports - Bladelogic not compliant (Weekly)","DA-ESS-UseCases"
UCCUS1108,"TRM Reports - Encase not compliant","DA-ESS-UseCases"
UCCUS1109,"TRM Reports - EssMon not compliant","DA-ESS-UseCases"
UCCUS111,"AppLocker - Total Events Per Region","DA-ESS-UseCases"
UCCUS1110,"TRM Reports - EssMon not compliant (Weekly)","DA-ESS-UseCases"
UCCUS1111,"TRM Reports - SEP Metrics Data Dump","DA-ESS-UseCases"
UCCUS1112,"TRM Reports - Safeboot-Pointsec not compliant","DA-ESS-UseCases"
UCCUS1113,"TRM Reports - Sanctuary not compliant","DA-ESS-UseCases"
UCCUS1114,"Terminated VPN user tried to unsuccessfully log in","DA-ESS-UseCases"
UCCUS1115,"Terminated user account still active","DA-ESS-UseCases"
UCCUS1116,"Terminated user logon","DA-ESS-UseCases"
UCCUS1117,"Test for Automating - SLA: Alert to Ticket Response Time","DA-ESS-UseCases"
UCCUS1118,"Test for Automating: ESHC - Get Incomplete Datamodels","DA-ESS-UseCases"
UCCUS1119,"Test for Automating: ESHC - Get Indexing Rate By Instance","DA-ESS-UseCases"
UCCUS112,"AppLocker-All SCRIPT/MSI Applications Blocked By Count of Unique Machines","DA-ESS-UseCases"
UCCUS1120,"Threat - HTTP Apache Struts2 Ognl Code Exec on Internal hosts - Palo Alto","DA-ESS-UseCases"
UCCUS1121,"Threat Activity - CUST - Threat Activity Details","DA-ESS-UseCases"
UCCUS1122,"Threat_Notable Events","DA-ESS-UseCases"
UCCUS1123,"Too-many-batches-inflight in last 1 day","DA-ESS-UseCases"
UCCUS1124,"Top 100 least visited uncategorized sites","DA-ESS-UseCases"
UCCUS1125,"Top 100 visited uncategorized sites by volume of data outbound","DA-ESS-UseCases"
UCCUS1126,"Top 50 Outbound Drop Destinations - Last 24HRS","DA-ESS-UseCases"
UCCUS1127,"Top 50 Users upload activity - CTI","DA-ESS-UseCases"
UCCUS1128,"Top IMAP4 Users","DA-ESS-UseCases"
UCCUS1129,"Top POP3 Users","DA-ESS-UseCases"
UCCUS113,"Application and Device Control Indicator for user - CTI","DA-ESS-UseCases"
UCCUS1130,"Top Priority Host Malware Infection","DA-ESS-UseCases"
UCCUS1131,"Top malicious DNS requests by user","DA-ESS-UseCases"
UCCUS1132,"Tor Network Detection","DA-ESS-UseCases"
UCCUS1133,"Total Traffic by Protocol","DA-ESS-UseCases"
UCCUS1134,"Total Web Uploads By User - CTI - Context Gen","DA-ESS-UseCases"
UCCUS1135,"Traffic Originating  from US Sanctioned Countries","DA-ESS-UseCases"
UCCUS1136,"Traffic blocked by Cisco Umbrella – Summary","DA-ESS-UseCases"
UCCUS1137,"Traffic from QCF-associated sources","DA-ESS-UseCases"
UCCUS1138,"Traffic to Hancitor URL detected","DA-ESS-UseCases"
UCCUS1139,"Traffic to TOR Node","DA-ESS-UseCases"
UCCUS114,"Approved users authorized to modify privileged account","DA-ESS-UseCases"
UCCUS1140,"Traffic to a Bad URL or Host match","DA-ESS-UseCases"
UCCUS1141,"Traffic to a newly discovered domain","DA-ESS-UseCases"
UCCUS1142,"Traffic to malicious digital currency campaign","DA-ESS-UseCases"
UCCUS1143,"Traffic to potentially suspicious Domains","DA-ESS-UseCases"
UCCUS1144,"Traffic to uncategorized sites from out of date Java","DA-ESS-UseCases"
UCCUS1145,"Trending of number of Internet facing IPs by subnet","DA-ESS-UseCases"
UCCUS1146,"Tripwire - Monitored Change to C&S System (Enterprise Profile)","DA-ESS-UseCases"
UCCUS1147,"Tripwire - Monitored Change to C&S System (InfoSec Profile)","DA-ESS-UseCases"
UCCUS1148,"Tripwire Monitoring Non-Production Swift FNI Servers","DA-ESS-UseCases"
UCCUS1149,"Tripwire Monitoring Non-Production Swift SAA Servers","DA-ESS-UseCases"
UCCUS115,"ArcSight Report Monitor","DA-ESS-UseCases"
UCCUS1150,"Tripwire Monitoring Production AMH Alerts","DA-ESS-UseCases"
UCCUS1151,"Tripwire Monitoring Production AMH App Server","DA-ESS-UseCases"
UCCUS1152,"Tripwire Monitoring Production Swift CES Servers","DA-ESS-UseCases"
UCCUS1153,"Tripwire Monitoring Production Swift FNI Servers","DA-ESS-UseCases"
UCCUS1154,"Tripwire Monitoring Production Swift SAA Servers","DA-ESS-UseCases"
UCCUS1155,"Tripwire Monitoring Production Swift SIL Servers","DA-ESS-UseCases"
UCCUS1156,"Troubleshooting - Inventory","DA-ESS-UseCases"
UCCUS1157,"Troubleshooting - Message Tracking","DA-ESS-UseCases"
UCCUS1158,"Troubleshooting - Performance","DA-ESS-UseCases"
UCCUS1159,"Troubleshooting - User Folders","DA-ESS-UseCases"
UCCUS116,"Attack from Host on Damballa List","DA-ESS-UseCases"
UCCUS1160,"Troubleshooting - User Mailboxes","DA-ESS-UseCases"
UCCUS1161,"Troubleshooting - Web Logs","DA-ESS-UseCases"
UCCUS1162,"Tunneling Remote Access with Plink","DA-ESS-UseCases"
UCCUS1163,"Two Factor Authentication Token Brute Force Detection","DA-ESS-UseCases"
UCCUS1164,"Typical senders to high profile targets","DA-ESS-UseCases"
UCCUS1165,"UNIX Unauthorized SU to root or prod","DA-ESS-UseCases"
UCCUS1166,"UNIX Unauthorized SU to root or prod (run by demand)","DA-ESS-UseCases"
UCCUS1167,"URL access to the potential DGA domains","DA-ESS-UseCases"
UCCUS1168,"Unauthorised Citrix Access","DA-ESS-UseCases"
UCCUS1169,"Unauthorized Scans by Internal Machines Detected","DA-ESS-UseCases"
UCCUS117,"Attack type trending over past 30, 90, 365 days","DA-ESS-UseCases"
UCCUS1170,"Unauthorized Server Connection to the Internet","DA-ESS-UseCases"
UCCUS1171,"Unauthorized application access","DA-ESS-UseCases"
UCCUS1172,"Unauthorized browser installed","DA-ESS-UseCases"
UCCUS1173,"Unauthorized user on the network","DA-ESS-UseCases"
UCCUS1174,"Unauthorzied access followed by protocol abuse","DA-ESS-UseCases"
UCCUS1175,"Unix - Default account activity successful","DA-ESS-UseCases"
UCCUS1176,"Unix/Linux - Default account activity failed","DA-ESS-UseCases"
UCCUS1177,"Unix/Linux - Default account activity successful","DA-ESS-UseCases"
UCCUS1178,"Unix/Linux - Excessive Failed Logins","DA-ESS-UseCases"
UCCUS1179,"Unknown VPN user logged in","DA-ESS-UseCases"
UCCUS118,"Attack type trending over past 365 days","DA-ESS-UseCases"
UCCUS1180,"Unmanaged Device in Datacenter","DA-ESS-UseCases"
UCCUS1181,"Unmanaged Windows Device Detected","DA-ESS-UseCases"
UCCUS1182,"Unpatched desktops with SEP infections","DA-ESS-UseCases"
UCCUS1183,"Unpatched servers with SEP infections","DA-ESS-UseCases"
UCCUS1184,"Unsolicitied SIP requests","DA-ESS-UseCases"
UCCUS1185,"Unused Mailboxes Report","DA-ESS-UseCases"
UCCUS1186,"Unusual Increase/Decrease in Syslog server","DA-ESS-UseCases"
UCCUS1187,"Unusually high number of DNS resolutions to C&C domains - CTI","DA-ESS-UseCases"
UCCUS1188,"Unusually long HTTP request - possible SQL injection","DA-ESS-UseCases"
UCCUS1189,"Unwanted software download followed by suspicious web traffic patterns","DA-ESS-UseCases"
UCCUS119,"Attack type trending over past 90 days","DA-ESS-UseCases"
UCCUS1190,"Use Case Master","DA-ESS-UseCases"
UCCUS1191,"Use of Proxy Anonymizers","DA-ESS-UseCases"
UCCUS1192,"User Account Created - Not in 513 Group","DA-ESS-UseCases"
UCCUS1193,"User Browsing to Dynamic DNS Site - CTI","DA-ESS-UseCases"
UCCUS1194,"User Browsing to Potential DGA site - CTI","DA-ESS-UseCases"
UCCUS1195,"User Notifications","DA-ESS-UseCases"
UCCUS1196,"User Successfully accessing blocked category in Proxy","DA-ESS-UseCases"
UCCUS1197,"User Visiting Malicious Site (Allowed Traffic) - CTI","DA-ESS-UseCases"
UCCUS1198,"User Visiting Malicious Site (Blocked Traffic) - CTI","DA-ESS-UseCases"
UCCUS1199,"User accessing multiple shares","DA-ESS-UseCases"
UCCUS120,"Attempt to reset an account's password by Unauthorized User","DA-ESS-UseCases"
UCCUS1200,"User risk threshold exceeded","DA-ESS-UseCases"
UCCUS1201,"User visiting Proxy Avoidance Websites - CTI","DA-ESS-UseCases"
UCCUS1202,"User visiting sites that were re-categorized as malicious - CTI","DA-ESS-UseCases"
UCCUS1203,"User with Local Admin rights","DA-ESS-UseCases"
UCCUS1204,"User with Unusually High Count of HTTP User Agent Strings - CTI","DA-ESS-UseCases"
UCCUS1205,"User-Computer accounts created and deleted in a short time","DA-ESS-UseCases"
UCCUS1206,"User-agent string only used by single user - CTI","DA-ESS-UseCases"
UCCUS1207,"Users With Unusually High Upload Activity - CTI","DA-ESS-UseCases"
UCCUS1208,"Users who have written - Dormant","DA-ESS-UseCases"
UCCUS1209,"Users with upload over 5 GB - CTI","DA-ESS-UseCases"
UCCUS121,"Audit - Stealth CyberArk Group Modified With No Request","DA-ESS-UseCases"
UCCUS1210,"VPN - MAW logon from shared account","DA-ESS-UseCases"
UCCUS1211,"VPN - logon from Domain Admin accounts","DA-ESS-UseCases"
UCCUS1212,"VPN Access from Non Allstate Countries","DA-ESS-UseCases"
UCCUS1213,"VPN Login from a terminated user","DA-ESS-UseCases"
UCCUS1214,"VPN Priv IP Address Assignment Blacklisted Public IP","DA-ESS-UseCases"
UCCUS1215,"VPN login attempts by administrators","DA-ESS-UseCases"
UCCUS1216,"VPN login attempts by service accounts","DA-ESS-UseCases"
UCCUS1217,"VPN login from Multiple Geographies to a single Account","DA-ESS-UseCases"
UCCUS1218,"VPN login from suspicious country","DA-ESS-UseCases"
UCCUS1219,"Virus Found - Machine Not Cleaned","DA-ESS-UseCases"
UCCUS122,"Auth Reload Job","DA-ESS-UseCases"
UCCUS1220,"Virus Found Not Cleaned","DA-ESS-UseCases"
UCCUS1221,"Virus Reinfection","DA-ESS-UseCases"
UCCUS1222,"Virus infection on CXO Machines","DA-ESS-UseCases"
UCCUS1223,"Visits to uncategorized sites by Line of Business","DA-ESS-UseCases"
UCCUS1224,"VmWare Host Fail to Report to Splunk","DA-ESS-UseCases"
UCCUS1225,"Vulnerability Correlation","DA-ESS-UseCases"
UCCUS1226,"WAF illegal http status in response violation detected","DA-ESS-UseCases"
UCCUS1227,"WCry IOC's Traffic  detected","DA-ESS-UseCases"
UCCUS1228,"WCry hashes detected","DA-ESS-UseCases"
UCCUS1229,"WSHELL - Post without a Referrer - CTI","DA-ESS-UseCases"
UCCUS123,"Average Bytes Indexed Hourly Lookup Gen","DA-ESS-UseCases"
UCCUS1230,"WSHELL - SQL Injection Attempt - Common Keywords - CTI","DA-ESS-UseCases"
UCCUS1231,"WSHELL - URI Only Visited by a Single Client IP - CTI","DA-ESS-UseCases"
UCCUS1232,"WSHELL - URI Visited by Windows XP User Agent - CTI","DA-ESS-UseCases"
UCCUS1233,"WSHELL - URI only browsed by one user agent - CTI","DA-ESS-UseCases"
UCCUS1234,"WSHELL - Unique Client-URI Combination - CTI","DA-ESS-UseCases"
UCCUS1235,"WSHELL - Unusually High Response Time for URI - CTI","DA-ESS-UseCases"
UCCUS1236,"WSHELL - Unusually Large Response for URI - CTI","DA-ESS-UseCases"
UCCUS1237,"WSHELL- Command execution attempt against web server - CTI","DA-ESS-UseCases"
